s,o,p,model,weight
ex:issuing_for2,ex:issuer33,ex:domain_knowledge,,1.0
ex:issuing_for2,ex:issuer48,ex:domain_knowledge,,1.0
ex:issuing_for4,ex:issuer48,ex:domain_knowledge,,1.0
ex:issuing_for4,ex:issuer52,ex:domain_knowledge,,1.0
ex:issuing_for4,ex:issuer53,ex:domain_knowledge,,1.0
ex:issuing_for4,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for5,ex:issuer52,ex:domain_knowledge,,1.0
ex:issuing_for5,ex:issuer53,ex:domain_knowledge,,1.0
ex:issuing_for6,ex:issuer60,ex:domain_knowledge,,1.0
ex:issuing_for6,ex:issuer63,ex:domain_knowledge,,1.0
ex:issuing_for7,ex:issuer60,ex:domain_knowledge,,1.0
ex:issuing_for7,ex:issuer63,ex:domain_knowledge,,1.0
ex:issuing_for7,ex:issuer70,ex:domain_knowledge,,1.0
ex:issuing_for9,ex:issuer60,ex:domain_knowledge,,1.0
ex:issuing_for9,ex:issuer63,ex:domain_knowledge,,1.0
ex:issuing_for9,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for11,ex:issuer77,ex:domain_knowledge,,1.0
ex:issuing_for11,ex:issuer83,ex:domain_knowledge,,1.0
ex:issuing_for12,ex:issuer77,ex:domain_knowledge,,1.0
ex:issuing_for12,ex:issuer83,ex:domain_knowledge,,1.0
ex:issuing_for13,ex:issuer77,ex:domain_knowledge,,1.0
ex:issuing_for14,ex:issuer83,ex:domain_knowledge,,1.0
ex:issuing_for14,ex:issuer88,ex:domain_knowledge,,1.0
ex:issuing_for15,ex:issuer83,ex:domain_knowledge,,1.0
ex:issuing_for16,ex:issuer83,ex:domain_knowledge,,1.0
ex:issuing_for16,ex:issuer88,ex:domain_knowledge,,1.0
ex:issuing_for17,ex:issuer83,ex:domain_knowledge,,1.0
ex:issuing_for17,ex:issuer88,ex:domain_knowledge,,1.0
ex:issuing_for17,ex:issuer269,ex:domain_knowledge,,1.0
ex:issuing_for19,ex:issuer88,ex:domain_knowledge,,1.0
ex:issuing_for21,ex:issuer94,ex:domain_knowledge,,1.0
ex:issuing_for22,ex:issuer100,ex:domain_knowledge,,1.0
ex:issuing_for23,ex:issuer100,ex:domain_knowledge,,1.0
ex:issuing_for25,ex:issuer103,ex:domain_knowledge,,1.0
ex:issuing_for26,ex:issuer106,ex:domain_knowledge,,1.0
ex:issuing_for26,ex:issuer107,ex:domain_knowledge,,1.0
ex:issuing_for26,ex:issuer269,ex:domain_knowledge,,1.0
ex:issuing_for26,ex:issuer288,ex:domain_knowledge,,1.0
ex:issuing_for29,ex:issuer119,ex:domain_knowledge,,1.0
ex:issuing_for30,ex:issuer194,ex:domain_knowledge,,1.0
ex:issuing_for31,ex:issuer131,ex:domain_knowledge,,1.0
ex:issuing_for31,ex:issuer281,ex:domain_knowledge,,1.0
ex:issuing_for33,ex:issuer150,ex:domain_knowledge,,1.0
ex:issuing_for34,ex:issuer151,ex:domain_knowledge,,1.0
ex:issuing_for34,ex:issuer161,ex:domain_knowledge,,1.0
ex:issuing_for36,ex:issuer152,ex:domain_knowledge,,1.0
ex:issuing_for39,ex:issuer151,ex:domain_knowledge,,1.0
ex:issuing_for39,ex:issuer152,ex:domain_knowledge,,1.0
ex:issuing_for40,ex:issuer151,ex:domain_knowledge,,1.0
ex:issuing_for40,ex:issuer152,ex:domain_knowledge,,1.0
ex:issuing_for41,ex:issuer151,ex:domain_knowledge,,1.0
ex:issuing_for41,ex:issuer152,ex:domain_knowledge,,1.0
ex:issuing_for42,ex:issuer131,ex:domain_knowledge,,1.0
ex:issuing_for43,ex:issuer151,ex:domain_knowledge,,1.0
ex:issuing_for43,ex:issuer152,ex:domain_knowledge,,1.0
