coin,portrait_person,issuer
ex:coin_16032,ex:person_153,ex:issuer_77
ex:coin_15467,ex:person_41,ex:issuer_131
ex:coin_15468,ex:person_41,ex:issuer_154
ex:coin_17654,ex:person_40,ex:issuer_154
ex:coin_30071,ex:person_41,ex:issuer_154
ex:coin_31174,ex:person_34,ex:issuer_152
ex:coin_31662,ex:person_34,ex:issuer_152
ex:coin_31817,ex:person_34,ex:issuer_152
ex:coin_31995,ex:person_34,ex:issuer_152
ex:coin_33410,ex:person_34,ex:issuer_152
ex:coin_33834,ex:person_34,ex:issuer_152
ex:coin_34869,ex:person_34,ex:issuer_152
ex:coin_34975,ex:person_41,ex:issuer_154
ex:coin_37622,ex:person_34,ex:issuer_152
