coin,portrait_person,issuer
ex:coin_15886,ex:person_26,ex:issuer_88
ex:coin_7787,ex:person_33,ex:issuer_131
ex:coin_13964,ex:person_34,ex:issuer_131
ex:coin_15501,ex:person_36,ex:issuer_131
ex:coin_17649,ex:person_34,ex:issuer_131
ex:coin_29066,ex:person_34,ex:issuer_131
ex:coin_29237,ex:person_34,ex:issuer_131
ex:coin_30641,ex:person_34,ex:issuer_131
ex:coin_31991,ex:person_34,ex:issuer_131
ex:coin_32228,ex:person_34,ex:issuer_131
ex:coin_32657,ex:person_34,ex:issuer_131
ex:coin_32792,ex:person_34,ex:issuer_131
ex:coin_33731,ex:person_34,ex:issuer_131
ex:coin_33734,ex:person_34,ex:issuer_131
ex:coin_33742,ex:person_34,ex:issuer_131
ex:coin_34009,ex:person_34,ex:issuer_131
ex:coin_37298,ex:person_34,ex:issuer_131
ex:coin_37330,ex:person_34,ex:issuer_131
ex:coin_37579,ex:person_34,ex:issuer_131
ex:coin_37824,ex:person_34,ex:issuer_131
ex:coin_14439,ex:person_70,ex:issuer_150
ex:coin_42313,ex:person_70,ex:issuer_151
ex:coin_42314,ex:person_70,ex:issuer_151
ex:coin_42316,ex:person_70,ex:issuer_151
ex:coin_42317,ex:person_70,ex:issuer_151
ex:coin_42326,ex:person_70,ex:issuer_151
ex:coin_42331,ex:person_70,ex:issuer_151
ex:coin_42334,ex:person_70,ex:issuer_151
ex:coin_42335,ex:person_70,ex:issuer_151
ex:coin_42336,ex:person_70,ex:issuer_151
ex:coin_1069,ex:person_39,ex:issuer_154
ex:coin_31516,ex:person_43,ex:issuer_154
ex:coin_38512,ex:person_43,ex:issuer_154
ex:coin_8831,ex:person_39,ex:issuer_177
ex:coin_8879,ex:person_40,ex:issuer_177
