coin,portrait_person,issuer
ex:coin_5770,ex:person_107,ex:issuer_48
ex:coin_12853,ex:person_118,ex:issuer_94
ex:coin_6252,ex:person_47,ex:issuer_103
ex:coin_11454,ex:person_57,ex:issuer_116
ex:coin_976,ex:person_41,ex:issuer_154
ex:coin_981,ex:person_41,ex:issuer_154
ex:coin_1030,ex:person_40,ex:issuer_154
ex:coin_1036,ex:person_41,ex:issuer_154
ex:coin_1051,ex:person_40,ex:issuer_154
ex:coin_1054,ex:person_41,ex:issuer_154
ex:coin_1060,ex:person_41,ex:issuer_154
ex:coin_1061,ex:person_40,ex:issuer_154
ex:coin_1077,ex:person_41,ex:issuer_154
ex:coin_1083,ex:person_41,ex:issuer_154
ex:coin_1084,ex:person_41,ex:issuer_131
ex:coin_1090,ex:person_40,ex:issuer_131
ex:coin_1091,ex:person_41,ex:issuer_154
ex:coin_1100,ex:person_40,ex:issuer_131
ex:coin_1107,ex:person_41,ex:issuer_154
ex:coin_1110,ex:person_40,ex:issuer_154
ex:coin_1119,ex:person_40,ex:issuer_154
ex:coin_1137,ex:person_40,ex:issuer_154
ex:coin_1138,ex:person_40,ex:issuer_131
ex:coin_1433,ex:person_40,ex:issuer_154
ex:coin_1672,ex:person_40,ex:issuer_154
ex:coin_1713,ex:person_41,ex:issuer_131
ex:coin_1714,ex:person_41,ex:issuer_154
ex:coin_1843,ex:person_40,ex:issuer_131
ex:coin_2012,ex:person_40,ex:issuer_154
ex:coin_2013,ex:person_40,ex:issuer_131
ex:coin_2020,ex:person_41,ex:issuer_154
ex:coin_2021,ex:person_41,ex:issuer_131
ex:coin_2022,ex:person_41,ex:issuer_154
ex:coin_2023,ex:person_41,ex:issuer_131
ex:coin_2024,ex:person_41,ex:issuer_154
ex:coin_2064,ex:person_41,ex:issuer_154
ex:coin_2074,ex:person_40,ex:issuer_131
ex:coin_5093,ex:person_41,ex:issuer_154
ex:coin_5106,ex:person_40,ex:issuer_154
ex:coin_5306,ex:person_41,ex:issuer_154
ex:coin_5842,ex:person_41,ex:issuer_154
ex:coin_5843,ex:person_41,ex:issuer_131
ex:coin_9142,ex:person_41,ex:issuer_154
ex:coin_9735,ex:person_41,ex:issuer_154
ex:coin_9755,ex:person_40,ex:issuer_154
ex:coin_9794,ex:person_41,ex:issuer_131
ex:coin_10421,ex:person_41,ex:issuer_154
ex:coin_10944,ex:person_40,ex:issuer_154
ex:coin_10947,ex:person_41,ex:issuer_154
ex:coin_10983,ex:person_41,ex:issuer_131
ex:coin_10989,ex:person_40,ex:issuer_154
ex:coin_10990,ex:person_40,ex:issuer_131
ex:coin_10991,ex:person_40,ex:issuer_154
ex:coin_10992,ex:person_40,ex:issuer_131
ex:coin_10993,ex:person_41,ex:issuer_154
