coin,portrait_person,issuer
ex:coin_6612,ex:person_107,ex:issuer_48
ex:coin_7922,ex:person_154,ex:issuer_48
ex:coin_27298,ex:person_5,ex:issuer_63
ex:coin_5542,ex:person_2,ex:issuer_70
ex:coin_12497,ex:person_9,ex:issuer_70
ex:coin_35357,ex:person_4,ex:issuer_73
ex:coin_35414,ex:person_4,ex:issuer_73
ex:coin_42315,ex:person_4,ex:issuer_74
ex:coin_8174,ex:person_176,ex:issuer_77
ex:coin_4590,ex:person_19,ex:issuer_93
ex:coin_4615,ex:person_19,ex:issuer_93
ex:coin_4982,ex:person_19,ex:issuer_93
ex:coin_5420,ex:person_19,ex:issuer_93
ex:coin_5695,ex:person_19,ex:issuer_93
ex:coin_6436,ex:person_19,ex:issuer_93
ex:coin_6537,ex:person_19,ex:issuer_93
ex:coin_7917,ex:person_19,ex:issuer_93
ex:coin_8398,ex:person_19,ex:issuer_93
ex:coin_8516,ex:person_19,ex:issuer_93
ex:coin_8641,ex:person_19,ex:issuer_93
ex:coin_8716,ex:person_19,ex:issuer_93
ex:coin_8995,ex:person_19,ex:issuer_93
ex:coin_9666,ex:person_19,ex:issuer_93
ex:coin_9857,ex:person_19,ex:issuer_93
ex:coin_11453,ex:person_19,ex:issuer_93
ex:coin_11691,ex:person_19,ex:issuer_93
ex:coin_12077,ex:person_19,ex:issuer_93
ex:coin_12958,ex:person_19,ex:issuer_93
ex:coin_13461,ex:person_19,ex:issuer_93
ex:coin_14800,ex:person_19,ex:issuer_93
ex:coin_15157,ex:person_19,ex:issuer_93
ex:coin_15842,ex:person_19,ex:issuer_93
ex:coin_15843,ex:person_19,ex:issuer_93
ex:coin_18375,ex:person_14,ex:issuer_94
ex:coin_829,ex:person_22,ex:issuer_97
ex:coin_1150,ex:person_22,ex:issuer_97
ex:coin_1726,ex:person_23,ex:issuer_97
ex:coin_1727,ex:person_22,ex:issuer_97
ex:coin_1837,ex:person_22,ex:issuer_97
