s,o,p
ex:coin_16032,ex:issuer_288,nmo:hasIssuer
ex:coin_16032,ex:issuer_77,nmo:hasIssuer
ex:coin_16032,ex:person_134,nmo:hasPortrait
ex:coin_16032,ex:person_153,nmo:hasPortrait
ex:person_134,ex:issuer_77,ex:hasPossibleIssuers
ex:person_153,ex:issuer_52,ex:hasPossibleIssuers
ex:issuer_288,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_26,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_138,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_139,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_141,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_143,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_148,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_149,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_150,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_166,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_167,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_168,ex:inPossibleIssuersOf
ex:issuer_288,ex:person_187,ex:inPossibleIssuersOf
ex:issuer_77,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_77,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_77,ex:person_13,ex:inPossibleIssuersOf
ex:issuer_77,ex:person_132,ex:inPossibleIssuersOf
ex:issuer_77,ex:person_134,ex:inPossibleIssuersOf
ex:issuer_77,ex:person_139,ex:inPossibleIssuersOf
ex:issuer_77,ex:person_151,ex:inPossibleIssuersOf
ex:issuer_77,ex:person_189,ex:inPossibleIssuersOf
ex:coin_5355,ex:issuer_83,nmo:hasIssuer
ex:coin_5355,ex:issuer_88,nmo:hasIssuer
ex:coin_5355,ex:person_15,nmo:hasPortrait
ex:coin_5355,ex:person_17,nmo:hasPortrait
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_5366,ex:issuer_83,nmo:hasIssuer
ex:coin_5366,ex:issuer_88,nmo:hasIssuer
ex:coin_5366,ex:person_17,nmo:hasPortrait
ex:coin_5366,ex:person_126,nmo:hasPortrait
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:person_126,ex:issuer_88,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_5690,ex:issuer_83,nmo:hasIssuer
ex:coin_5690,ex:issuer_88,nmo:hasIssuer
ex:coin_5690,ex:person_15,nmo:hasPortrait
ex:coin_5690,ex:person_17,nmo:hasPortrait
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_5778,ex:issuer_83,nmo:hasIssuer
ex:coin_5778,ex:issuer_88,nmo:hasIssuer
ex:coin_5778,ex:person_15,nmo:hasPortrait
ex:coin_5778,ex:person_17,nmo:hasPortrait
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
