s,p,o,weight,model
ex:coin_15467,nmo:hasIssuer,ex:issuer_154,1.0,
ex:coin_15467,nmo:hasIssuer,ex:issuer_131,1.0,
ex:coin_15467,nmo:hasPortrait,ex:person_40,1.0,
ex:coin_15467,nmo:hasPortrait,ex:person_41,1.0,
ex:person_40,ex:hasPossibleIssuers,ex:issuer_151,1.0,
ex:person_40,ex:hasPossibleIssuers,ex:issuer_152,1.0,
ex:person_41,ex:hasPossibleIssuers,ex:issuer_151,1.0,
ex:person_41,ex:hasPossibleIssuers,ex:issuer_152,1.0,
ex:issuer_131,ex:inPossibleIssuersOf,ex:person_31,1.0,
ex:issuer_131,ex:inPossibleIssuersOf,ex:person_42,1.0,
ex:coin_15468,nmo:hasIssuer,ex:issuer_131,1.0,
ex:coin_15468,nmo:hasIssuer,ex:issuer_154,1.0,
ex:coin_15468,nmo:hasPortrait,ex:person_40,1.0,
ex:coin_15468,nmo:hasPortrait,ex:person_41,1.0,
ex:coin_17654,nmo:hasIssuer,ex:issuer_131,1.0,
ex:coin_17654,nmo:hasIssuer,ex:issuer_154,1.0,
ex:coin_17654,nmo:hasPortrait,ex:person_41,1.0,
ex:coin_17654,nmo:hasPortrait,ex:person_40,1.0,
ex:coin_30071,nmo:hasIssuer,ex:issuer_131,1.0,
ex:coin_30071,nmo:hasIssuer,ex:issuer_154,1.0,
ex:coin_30071,nmo:hasPortrait,ex:person_40,1.0,
ex:coin_30071,nmo:hasPortrait,ex:person_41,1.0,
ex:coin_34975,nmo:hasIssuer,ex:issuer_131,1.0,
ex:coin_34975,nmo:hasIssuer,ex:issuer_154,1.0,
ex:coin_34975,nmo:hasPortrait,ex:person_40,1.0,
ex:coin_34975,nmo:hasPortrait,ex:person_41,1.0,
