s,p,o,weight,model
ex:coin_16032,nmo:hasIssuer,ex:issuer_288,1.0,
ex:coin_16032,nmo:hasIssuer,ex:issuer_77,1.0,
ex:coin_16032,nmo:hasPortrait,ex:person_134,1.0,
ex:coin_16032,nmo:hasPortrait,ex:person_153,1.0,
ex:person_134,ex:hasPossibleIssuers,ex:issuer_77,1.0,
ex:person_153,ex:hasPossibleIssuers,ex:issuer_52,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_4,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_9,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_26,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_135,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_138,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_139,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_141,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_143,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_148,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_149,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_150,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_166,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_167,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_168,1.0,
ex:issuer_288,ex:inPossibleIssuersOf,ex:person_187,1.0,
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_11,1.0,
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_12,1.0,
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_13,1.0,
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_132,1.0,
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_134,1.0,
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_139,1.0,
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_151,1.0,
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_189,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_48,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_52,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_53,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_9,ex:hasPossibleIssuers,ex:issuer_60,1.0,
ex:person_9,ex:hasPossibleIssuers,ex:issuer_63,1.0,
ex:person_9,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_26,ex:hasPossibleIssuers,ex:issuer_106,1.0,
ex:person_26,ex:hasPossibleIssuers,ex:issuer_107,1.0,
ex:person_26,ex:hasPossibleIssuers,ex:issuer_269,1.0,
ex:person_26,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_135,ex:hasPossibleIssuers,ex:issuer_83,1.0,
ex:person_135,ex:hasPossibleIssuers,ex:issuer_88,1.0,
ex:person_135,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_138,ex:hasPossibleIssuers,ex:issuer_94,1.0,
ex:person_138,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_139,ex:hasPossibleIssuers,ex:issuer_77,1.0,
ex:person_139,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_141,ex:hasPossibleIssuers,ex:issuer_88,1.0,
ex:person_141,ex:hasPossibleIssuers,ex:issuer_94,1.0,
ex:person_141,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_143,ex:hasPossibleIssuers,ex:issuer_74,1.0,
ex:person_143,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_148,ex:hasPossibleIssuers,ex:issuer_97,1.0,
ex:person_148,ex:hasPossibleIssuers,ex:issuer_100,1.0,
ex:person_148,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_149,ex:hasPossibleIssuers,ex:issuer_103,1.0,
ex:person_149,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_150,ex:hasPossibleIssuers,ex:issuer_70,1.0,
ex:person_150,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_166,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_167,ex:hasPossibleIssuers,ex:issuer_109,1.0,
ex:person_167,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_167,ex:hasPossibleIssuers,ex:issuer_296,1.0,
ex:person_168,ex:hasPossibleIssuers,ex:issuer_235,1.0,
ex:person_168,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_187,ex:hasPossibleIssuers,ex:issuer_106,1.0,
ex:person_187,ex:hasPossibleIssuers,ex:issuer_107,1.0,
ex:person_187,ex:hasPossibleIssuers,ex:issuer_109,1.0,
ex:person_187,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:person_187,ex:hasPossibleIssuers,ex:issuer_296,1.0,
ex:person_11,ex:hasPossibleIssuers,ex:issuer_77,1.0,
ex:person_11,ex:hasPossibleIssuers,ex:issuer_83,1.0,
ex:person_12,ex:hasPossibleIssuers,ex:issuer_77,1.0,
ex:person_12,ex:hasPossibleIssuers,ex:issuer_83,1.0,
ex:person_13,ex:hasPossibleIssuers,ex:issuer_77,1.0,
ex:person_132,ex:hasPossibleIssuers,ex:issuer_74,1.0,
ex:person_132,ex:hasPossibleIssuers,ex:issuer_77,1.0,
ex:person_151,ex:hasPossibleIssuers,ex:issuer_74,1.0,
ex:person_151,ex:hasPossibleIssuers,ex:issuer_77,1.0,
ex:person_189,ex:hasPossibleIssuers,ex:issuer_74,1.0,
ex:person_189,ex:hasPossibleIssuers,ex:issuer_77,1.0,
ex:coin_5355,nmo:hasIssuer,ex:issuer_83,1.0,
ex:coin_5355,nmo:hasIssuer,ex:issuer_88,1.0,
ex:coin_5355,nmo:hasPortrait,ex:person_15,1.0,
ex:coin_5355,nmo:hasPortrait,ex:person_17,1.0,
ex:person_15,ex:hasPossibleIssuers,ex:issuer_83,1.0,
ex:person_17,ex:hasPossibleIssuers,ex:issuer_83,1.0,
ex:person_17,ex:hasPossibleIssuers,ex:issuer_88,1.0,
ex:person_17,ex:hasPossibleIssuers,ex:issuer_269,1.0,
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11,1.0,
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12,1.0,
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14,1.0,
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15,1.0,
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16,1.0,
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17,1.0,
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135,1.0,
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_14,1.0,
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_16,1.0,
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_17,1.0,
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_19,1.0,
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_118,1.0,
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_126,1.0,
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_135,1.0,
