s,o,p
ex:coin_15602,ex:issuer_60,nmo:hasIssuer
ex:coin_15602,ex:person_6,nmo:hasPortrait
ex:coin_15602,ex:person_7,nmo:hasPortrait
ex:person_6,ex:issuer_60,ex:hasPossibleIssuers
ex:person_6,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_60,ex:hasPossibleIssuers
ex:person_7,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_70,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:coin_16646,ex:issuer_60,nmo:hasIssuer
ex:coin_16646,ex:person_6,nmo:hasPortrait
ex:coin_16646,ex:person_7,nmo:hasPortrait
ex:person_6,ex:issuer_60,ex:hasPossibleIssuers
ex:person_6,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_60,ex:hasPossibleIssuers
ex:person_7,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_70,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:coin_866,ex:issuer_83,nmo:hasIssuer
ex:coin_866,ex:person_16,nmo:hasPortrait
ex:coin_866,ex:person_15,nmo:hasPortrait
ex:person_16,ex:issuer_83,ex:hasPossibleIssuers
ex:person_16,ex:issuer_88,ex:hasPossibleIssuers
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:coin_1804,ex:issuer_83,nmo:hasIssuer
ex:coin_1804,ex:person_16,nmo:hasPortrait
ex:coin_1804,ex:person_15,nmo:hasPortrait
ex:person_16,ex:issuer_83,ex:hasPossibleIssuers
ex:person_16,ex:issuer_88,ex:hasPossibleIssuers
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:coin_1817,ex:issuer_83,nmo:hasIssuer
ex:coin_1817,ex:person_16,nmo:hasPortrait
ex:coin_1817,ex:person_15,nmo:hasPortrait
ex:person_16,ex:issuer_83,ex:hasPossibleIssuers
ex:person_16,ex:issuer_88,ex:hasPossibleIssuers
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
