s,p,o,weight,model,
ex:coin_15602,nmo:hasIssuer,ex:issuer_60,1.0,,NULL
ex:coin_15602,nmo:hasPortrait,ex:person_6,1.0,,NULL
ex:coin_15602,nmo:hasPortrait,ex:person_7,1.0,,NULL
ex:person_6,ex:hasPossibleIssuers,ex:issuer_60,1.0,,NULL
ex:person_6,ex:hasPossibleIssuers,ex:issuer_63,1.0,,NULL
ex:person_7,ex:hasPossibleIssuers,ex:issuer_60,1.0,,NULL
ex:person_7,ex:hasPossibleIssuers,ex:issuer_63,1.0,,NULL
ex:person_7,ex:hasPossibleIssuers,ex:issuer_70,1.0,,NULL
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_6,1.0,,NULL
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_7,1.0,,NULL
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_9,1.0,,NULL
ex:person_9,ex:hasPossibleIssuers,ex:issuer_60,1.0,,NULL
ex:person_9,ex:hasPossibleIssuers,ex:issuer_63,1.0,,NULL
ex:person_9,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:coin_16646,nmo:hasIssuer,ex:issuer_60,1.0,,NULL
ex:coin_16646,nmo:hasPortrait,ex:person_6,1.0,,NULL
ex:coin_16646,nmo:hasPortrait,ex:person_7,1.0,,NULL
ex:coin_866,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_866,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_866,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:person_16,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_16,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_15,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135,1.0,,NULL
ex:person_11,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_11,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_12,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_12,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_14,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_14,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_269,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:coin_1804,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_1804,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_1804,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_1817,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_1817,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_1817,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_2105,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_2105,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_2105,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_2116,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_2116,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_2116,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_2612,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_2612,nmo:hasPortrait,ex:person_17,1.0,,NULL
ex:coin_2612,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_4644,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_4644,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_4644,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_4900,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_4900,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_4900,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_5077,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_5077,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_5077,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_5365,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_5365,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_5365,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_5779,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_5779,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_5779,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_6189,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_6189,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:coin_6189,nmo:hasPortrait,ex:person_16,1.0,,NULL
ex:coin_6226,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_6226,nmo:hasPortrait,ex:person_15,1.0,,NULL
