s,o,p
ex:coin_28215,ex:issuer_60,nmo:hasIssuer
ex:coin_28215,ex:issuer_63,nmo:hasIssuer
ex:coin_28215,ex:person_6,nmo:hasPortrait
ex:coin_28215,ex:person_7,nmo:hasPortrait
ex:coin_28215,ex:uncertain,nmo:hasPortrait
ex:person_6,ex:issuer_60,ex:hasPossibleIssuers
ex:person_6,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_60,ex:hasPossibleIssuers
ex:person_7,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_70,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_125,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_172,ex:inPossibleIssuersOf
ex:coin_35522,ex:issuer_60,nmo:hasIssuer
ex:coin_35522,ex:issuer_63,nmo:hasIssuer
ex:coin_35522,ex:person_6,nmo:hasPortrait
ex:coin_35522,ex:person_7,nmo:hasPortrait
ex:coin_35522,ex:uncertain,nmo:hasPortrait
ex:person_6,ex:issuer_60,ex:hasPossibleIssuers
ex:person_6,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_60,ex:hasPossibleIssuers
ex:person_7,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_70,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_125,ex:inPossibleIssuersOf
