s,o,p
ex:coin_6877,ex:issuer_52,nmo:hasIssuer
ex:coin_6877,ex:issuer_53,nmo:hasIssuer
ex:coin_6877,ex:uncertain,nmo:hasIssuer
ex:coin_6877,ex:person_108,nmo:hasPortrait
ex:coin_6877,ex:person_109,nmo:hasPortrait
ex:coin_6877,ex:uncertain,nmo:hasPortrait
ex:person_108,ex:issuer_52,ex:hasPossibleIssuers
ex:person_108,ex:issuer_53,ex:hasPossibleIssuers
ex:person_109,ex:issuer_52,ex:hasPossibleIssuers
ex:person_109,ex:issuer_53,ex:hasPossibleIssuers
ex:person_109,ex:issuer_55,ex:hasPossibleIssuers
ex:issuer_52,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_5,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_108,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_109,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_153,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_154,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_169,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_185,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_5,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_108,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_109,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_112,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_114,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_116,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_117,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_129,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_155,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_183,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_184,ex:inPossibleIssuersOf
ex:coin_30074,ex:issuer_83,nmo:hasIssuer
ex:coin_30074,ex:issuer_88,nmo:hasIssuer
ex:coin_30074,ex:uncertain,nmo:hasIssuer
ex:coin_30074,ex:person_15,nmo:hasPortrait
ex:coin_30074,ex:person_17,nmo:hasPortrait
ex:coin_30074,ex:uncertain,nmo:hasPortrait
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_17839,ex:issuer_106,nmo:hasIssuer
ex:coin_17839,ex:issuer_107,nmo:hasIssuer
ex:coin_17839,ex:uncertain,nmo:hasIssuer
ex:coin_17839,ex:person_190,nmo:hasPortrait
ex:coin_17839,ex:person_26,nmo:hasPortrait
ex:coin_17839,ex:uncertain,nmo:hasPortrait
ex:person_190,ex:issuer_106,ex:hasPossibleIssuers
ex:person_26,ex:issuer_106,ex:hasPossibleIssuers
ex:person_26,ex:issuer_107,ex:hasPossibleIssuers
ex:person_26,ex:issuer_269,ex:hasPossibleIssuers
ex:person_26,ex:issuer_288,ex:hasPossibleIssuers
ex:issuer_106,ex:person_26,ex:inPossibleIssuersOf
ex:issuer_106,ex:person_163,ex:inPossibleIssuersOf
ex:issuer_106,ex:person_187,ex:inPossibleIssuersOf
ex:issuer_106,ex:person_190,ex:inPossibleIssuersOf
ex:issuer_106,ex:person_198,ex:inPossibleIssuersOf
ex:issuer_107,ex:person_26,ex:inPossibleIssuersOf
ex:issuer_107,ex:person_163,ex:inPossibleIssuersOf
ex:issuer_107,ex:person_187,ex:inPossibleIssuersOf
ex:coin_6559,ex:issuer_131,nmo:hasIssuer
ex:coin_6559,ex:issuer_151,nmo:hasIssuer
ex:coin_6559,ex:uncertain,nmo:hasIssuer
ex:coin_6559,ex:person_34,nmo:hasPortrait
ex:coin_6559,ex:person_120,nmo:hasPortrait
ex:coin_6559,ex:uncertain,nmo:hasPortrait
ex:person_34,ex:issuer_151,ex:hasPossibleIssuers
ex:person_34,ex:issuer_161,ex:hasPossibleIssuers
ex:person_120,ex:issuer_151,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_43,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_120,ex:inPossibleIssuersOf
ex:coin_31677,ex:issuer_131,nmo:hasIssuer
ex:coin_31677,ex:issuer_189,nmo:hasIssuer
ex:coin_31677,ex:uncertain,nmo:hasIssuer
ex:coin_31677,ex:person_38,nmo:hasPortrait
ex:coin_31677,ex:person_175,nmo:hasPortrait
ex:coin_31677,ex:uncertain,nmo:hasPortrait
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_14761,ex:issuer_151,nmo:hasIssuer
ex:coin_14761,ex:issuer_161,nmo:hasIssuer
ex:coin_14761,ex:uncertain,nmo:hasIssuer
ex:coin_14761,ex:person_120,nmo:hasPortrait
ex:coin_14761,ex:person_70,nmo:hasPortrait
ex:coin_14761,ex:uncertain,nmo:hasPortrait
ex:person_120,ex:issuer_151,ex:hasPossibleIssuers
ex:person_70,ex:issuer_59,ex:hasPossibleIssuers
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_43,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_120,ex:inPossibleIssuersOf
ex:issuer_161,ex:person_34,ex:inPossibleIssuersOf
