s,o,p
ex:coin_30867,ex:issuer_131,nmo:hasIssuer
ex:coin_30867,ex:person_32,nmo:hasPortrait
ex:coin_30867,ex:person_33,nmo:hasPortrait
ex:coin_30867,ex:uncertain,nmo:hasPortrait
ex:person_33,ex:issuer_150,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_37721,ex:issuer_131,nmo:hasIssuer
ex:coin_37721,ex:person_32,nmo:hasPortrait
ex:coin_37721,ex:person_33,nmo:hasPortrait
ex:coin_37721,ex:uncertain,nmo:hasPortrait
ex:person_33,ex:issuer_150,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
ex:coin_41540,ex:issuer_151,nmo:hasIssuer
ex:coin_41540,ex:person_120,nmo:hasPortrait
ex:coin_41540,ex:person_70,nmo:hasPortrait
ex:coin_41540,ex:uncertain,nmo:hasPortrait
ex:person_120,ex:issuer_151,ex:hasPossibleIssuers
ex:person_70,ex:issuer_59,ex:hasPossibleIssuers
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_43,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_120,ex:inPossibleIssuersOf
ex:coin_42181,ex:issuer_151,nmo:hasIssuer
ex:coin_42181,ex:person_120,nmo:hasPortrait
ex:coin_42181,ex:person_70,nmo:hasPortrait
ex:coin_42181,ex:uncertain,nmo:hasPortrait
ex:person_120,ex:issuer_151,ex:hasPossibleIssuers
ex:person_70,ex:issuer_59,ex:hasPossibleIssuers
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_43,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_120,ex:inPossibleIssuersOf
ex:coin_42307,ex:issuer_151,nmo:hasIssuer
ex:coin_42307,ex:person_120,nmo:hasPortrait
ex:coin_42307,ex:person_70,nmo:hasPortrait
ex:coin_42307,ex:uncertain,nmo:hasPortrait
ex:person_120,ex:issuer_151,ex:hasPossibleIssuers
ex:person_70,ex:issuer_59,ex:hasPossibleIssuers
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_43,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_120,ex:inPossibleIssuersOf
ex:coin_42312,ex:issuer_151,nmo:hasIssuer
ex:coin_42312,ex:person_120,nmo:hasPortrait
ex:coin_42312,ex:person_70,nmo:hasPortrait
ex:coin_42312,ex:uncertain,nmo:hasPortrait
ex:person_120,ex:issuer_151,ex:hasPossibleIssuers
ex:person_70,ex:issuer_59,ex:hasPossibleIssuers
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
