s,o,p
ex:coin_12284,ex:issuer_83,nmo:hasIssuer
ex:coin_12284,ex:uncertain,nmo:hasIssuer
ex:coin_12284,ex:person_15,nmo:hasPortrait
ex:coin_12284,ex:person_16,nmo:hasPortrait
ex:coin_12284,ex:uncertain,nmo:hasPortrait
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:person_16,ex:issuer_83,ex:hasPossibleIssuers
ex:person_16,ex:issuer_88,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:coin_15663,ex:issuer_83,nmo:hasIssuer
ex:coin_15663,ex:uncertain,nmo:hasIssuer
ex:coin_15663,ex:person_15,nmo:hasPortrait
ex:coin_15663,ex:person_16,nmo:hasPortrait
ex:coin_15663,ex:uncertain,nmo:hasPortrait
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:person_16,ex:issuer_83,ex:hasPossibleIssuers
ex:person_16,ex:issuer_88,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:coin_18484,ex:issuer_88,nmo:hasIssuer
ex:coin_18484,ex:uncertain,nmo:hasIssuer
ex:coin_18484,ex:person_17,nmo:hasPortrait
ex:coin_18484,ex:person_126,nmo:hasPortrait
ex:coin_18484,ex:uncertain,nmo:hasPortrait
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:person_126,ex:issuer_88,ex:hasPossibleIssuers
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_30150,ex:issuer_111,nmo:hasIssuer
ex:coin_30150,ex:uncertain,nmo:hasIssuer
ex:coin_30150,ex:person_44,nmo:hasPortrait
ex:coin_30150,ex:person_193,nmo:hasPortrait
ex:coin_30150,ex:uncertain,nmo:hasPortrait
ex:person_44,ex:issuer_111,ex:hasPossibleIssuers
ex:person_193,ex:issuer_111,ex:hasPossibleIssuers
ex:issuer_111,ex:person_44,ex:inPossibleIssuersOf
ex:issuer_111,ex:person_45,ex:inPossibleIssuersOf
ex:issuer_111,ex:person_131,ex:inPossibleIssuersOf
ex:issuer_111,ex:person_192,ex:inPossibleIssuersOf
ex:issuer_111,ex:person_193,ex:inPossibleIssuersOf
ex:coin_30151,ex:issuer_111,nmo:hasIssuer
ex:coin_30151,ex:uncertain,nmo:hasIssuer
ex:coin_30151,ex:person_44,nmo:hasPortrait
ex:coin_30151,ex:person_193,nmo:hasPortrait
ex:coin_30151,ex:uncertain,nmo:hasPortrait
ex:person_44,ex:issuer_111,ex:hasPossibleIssuers
ex:person_193,ex:issuer_111,ex:hasPossibleIssuers
ex:issuer_111,ex:person_44,ex:inPossibleIssuersOf
ex:issuer_111,ex:person_45,ex:inPossibleIssuersOf
ex:issuer_111,ex:person_131,ex:inPossibleIssuersOf
ex:issuer_111,ex:person_192,ex:inPossibleIssuersOf
ex:issuer_111,ex:person_193,ex:inPossibleIssuersOf
ex:coin_29428,ex:issuer_131,nmo:hasIssuer
ex:coin_29428,ex:uncertain,nmo:hasIssuer
ex:coin_29428,ex:person_32,nmo:hasPortrait
ex:coin_29428,ex:person_33,nmo:hasPortrait
ex:coin_29428,ex:uncertain,nmo:hasPortrait
ex:person_33,ex:issuer_150,ex:hasPossibleIssuers
ex:issuer_131,ex:person_31,ex:inPossibleIssuersOf
ex:issuer_131,ex:person_42,ex:inPossibleIssuersOf
