s,o,p
ex:coin_34,ex:issuer_6,nmo:hasIssuer
ex:coin_34,ex:issuer_14,nmo:hasIssuer
ex:coin_34,ex:person_60,nmo:hasPortrait
ex:coin_126,ex:issuer_6,nmo:hasIssuer
ex:coin_126,ex:issuer_14,nmo:hasIssuer
ex:coin_126,ex:person_60,nmo:hasPortrait
ex:coin_166,ex:issuer_6,nmo:hasIssuer
ex:coin_166,ex:issuer_14,nmo:hasIssuer
ex:coin_166,ex:person_60,nmo:hasPortrait
ex:coin_1416,ex:issuer_6,nmo:hasIssuer
ex:coin_1416,ex:issuer_14,nmo:hasIssuer
ex:coin_1416,ex:person_60,nmo:hasPortrait
ex:coin_1417,ex:issuer_6,nmo:hasIssuer
ex:coin_1417,ex:issuer_14,nmo:hasIssuer
ex:coin_1417,ex:person_60,nmo:hasPortrait
ex:coin_5770,ex:issuer_33,nmo:hasIssuer
ex:coin_5770,ex:issuer_48,nmo:hasIssuer
ex:coin_5770,ex:person_107,nmo:hasPortrait
ex:person_107,ex:issuer_33,ex:hasPossibleIssuers
ex:person_107,ex:issuer_52,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_129,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_155,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_156,ex:inPossibleIssuersOf
ex:coin_8562,ex:issuer_48,nmo:hasIssuer
ex:coin_8562,ex:issuer_52,nmo:hasIssuer
ex:coin_8562,ex:person_107,nmo:hasPortrait
ex:person_107,ex:issuer_33,ex:hasPossibleIssuers
ex:person_107,ex:issuer_52,ex:hasPossibleIssuers
ex:issuer_48,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_129,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_155,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_156,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_5,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_108,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_109,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_153,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_154,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_169,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_185,ex:inPossibleIssuersOf
ex:coin_6249,ex:issuer_52,nmo:hasIssuer
ex:coin_6249,ex:issuer_53,nmo:hasIssuer
ex:coin_6249,ex:person_5,nmo:hasPortrait
ex:person_5,ex:issuer_52,ex:hasPossibleIssuers
ex:person_5,ex:issuer_53,ex:hasPossibleIssuers
ex:issuer_52,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_5,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_108,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_109,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_153,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_154,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_169,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_185,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_5,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_108,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_109,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_112,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_114,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_116,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_117,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_129,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_155,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_183,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_184,ex:inPossibleIssuersOf
ex:coin_987,ex:issuer_60,nmo:hasIssuer
ex:coin_987,ex:issuer_63,nmo:hasIssuer
ex:coin_987,ex:person_7,nmo:hasPortrait
ex:person_7,ex:issuer_60,ex:hasPossibleIssuers
ex:person_7,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_70,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_125,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_172,ex:inPossibleIssuersOf
ex:coin_12072,ex:issuer_60,nmo:hasIssuer
ex:coin_12072,ex:issuer_63,nmo:hasIssuer
ex:coin_12072,ex:issuer_70,nmo:hasIssuer
ex:coin_12072,ex:person_7,nmo:hasPortrait
ex:person_7,ex:issuer_60,ex:hasPossibleIssuers
ex:person_7,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_70,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_125,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_172,ex:inPossibleIssuersOf
ex:issuer_70,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_70,ex:person_150,ex:inPossibleIssuersOf
ex:issuer_70,ex:person_152,ex:inPossibleIssuersOf
ex:issuer_70,ex:person_172,ex:inPossibleIssuersOf
ex:coin_13623,ex:issuer_60,nmo:hasIssuer
ex:coin_13623,ex:issuer_63,nmo:hasIssuer
ex:coin_13623,ex:person_7,nmo:hasPortrait
ex:person_7,ex:issuer_60,ex:hasPossibleIssuers
ex:person_7,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_70,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_125,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_172,ex:inPossibleIssuersOf
ex:coin_13826,ex:issuer_60,nmo:hasIssuer
ex:coin_13826,ex:issuer_63,nmo:hasIssuer
ex:coin_13826,ex:person_7,nmo:hasPortrait
ex:person_7,ex:issuer_60,ex:hasPossibleIssuers
ex:person_7,ex:issuer_63,ex:hasPossibleIssuers
ex:person_7,ex:issuer_70,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_125,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_172,ex:inPossibleIssuersOf
ex:coin_15661,ex:issuer_60,nmo:hasIssuer
ex:coin_15661,ex:issuer_63,nmo:hasIssuer
ex:coin_15661,ex:person_6,nmo:hasPortrait
ex:person_6,ex:issuer_60,ex:hasPossibleIssuers
ex:person_6,ex:issuer_63,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_125,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_172,ex:inPossibleIssuersOf
ex:coin_3302,ex:issuer_83,nmo:hasIssuer
ex:coin_3302,ex:issuer_88,nmo:hasIssuer
ex:coin_3302,ex:person_17,nmo:hasPortrait
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_4726,ex:issuer_83,nmo:hasIssuer
ex:coin_4726,ex:issuer_88,nmo:hasIssuer
ex:coin_4726,ex:person_17,nmo:hasPortrait
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_4738,ex:issuer_83,nmo:hasIssuer
ex:coin_4738,ex:issuer_88,nmo:hasIssuer
ex:coin_4738,ex:person_17,nmo:hasPortrait
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_19,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_118,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_126,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_140,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_141,ex:inPossibleIssuersOf
ex:coin_6237,ex:issuer_83,nmo:hasIssuer
ex:coin_6237,ex:issuer_88,nmo:hasIssuer
ex:coin_6237,ex:person_17,nmo:hasPortrait
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_88,ex:person_17,ex:inPossibleIssuersOf
