s,p,o
ex:coin_177,nmo:hasIssuer,ex:issuer_6
ex:coin_177,nmo:hasIssuer,ex:issuer_14
ex:coin_177,nmo:hasIssuer,ex:uncertain
ex:coin_177,nmo:hasPortrait,ex:person_60
ex:coin_210,nmo:hasIssuer,ex:issuer_6
ex:coin_210,nmo:hasIssuer,ex:issuer_14
ex:coin_210,nmo:hasIssuer,ex:uncertain
ex:coin_210,nmo:hasPortrait,ex:person_60
ex:coin_18690,nmo:hasIssuer,ex:issuer_77
ex:coin_18690,nmo:hasIssuer,ex:issuer_83
ex:coin_18690,nmo:hasIssuer,ex:uncertain
ex:coin_18690,nmo:hasPortrait,ex:person_11
ex:person_11,ex:hasPossibleIssuers,ex:issuer_77
ex:person_11,ex:hasPossibleIssuers,ex:issuer_83
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_12
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_13
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_132
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_134
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_139
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_151
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_189
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:coin_5975,nmo:hasIssuer,ex:issuer_83
ex:coin_5975,nmo:hasIssuer,ex:issuer_88
ex:coin_5975,nmo:hasIssuer,ex:uncertain
ex:coin_5975,nmo:hasPortrait,ex:person_17
ex:person_17,ex:hasPossibleIssuers,ex:issuer_83
ex:person_17,ex:hasPossibleIssuers,ex:issuer_88
ex:person_17,ex:hasPossibleIssuers,ex:issuer_269
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_19
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_118
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_126
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_135
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_140
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_141
ex:coin_6455,nmo:hasIssuer,ex:issuer_83
ex:coin_6455,nmo:hasIssuer,ex:issuer_88
ex:coin_6455,nmo:hasIssuer,ex:uncertain
ex:coin_6455,nmo:hasPortrait,ex:person_17
ex:person_17,ex:hasPossibleIssuers,ex:issuer_83
ex:person_17,ex:hasPossibleIssuers,ex:issuer_88
ex:person_17,ex:hasPossibleIssuers,ex:issuer_269
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_14
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_16
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_17
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_19
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_118
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_126
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_135
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_140
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_141
ex:coin_10165,nmo:hasIssuer,ex:issuer_83
ex:coin_10165,nmo:hasIssuer,ex:issuer_88
ex:coin_10165,nmo:hasIssuer,ex:uncertain
ex:coin_10165,nmo:hasPortrait,ex:person_17
ex:person_17,ex:hasPossibleIssuers,ex:issuer_83
