s,p,o,weight,model,
ex:coin_18690,nmo:hasIssuer,ex:issuer_77,1.0,,NULL
ex:coin_18690,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_18690,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_18690,nmo:hasPortrait,ex:person_11,1.0,,NULL
ex:person_11,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_11,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_11,1.0,,NULL
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_12,1.0,,NULL
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_13,1.0,,NULL
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_132,1.0,,NULL
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_134,1.0,,NULL
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_139,1.0,,NULL
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_151,1.0,,NULL
ex:issuer_77,ex:inPossibleIssuersOf,ex:person_189,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135,1.0,,NULL
ex:person_12,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_12,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_13,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_132,ex:hasPossibleIssuers,ex:issuer_74,1.0,,NULL
ex:person_132,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_134,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_139,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_139,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:person_151,ex:hasPossibleIssuers,ex:issuer_74,1.0,,NULL
ex:person_151,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_189,ex:hasPossibleIssuers,ex:issuer_74,1.0,,NULL
ex:person_189,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_14,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_14,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_15,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_16,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_16,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_269,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:coin_5975,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_5975,nmo:hasIssuer,ex:issuer_88,1.0,,NULL
ex:coin_5975,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_5975,nmo:hasPortrait,ex:person_17,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_14,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_16,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_17,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_19,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_118,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_126,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_135,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_140,1.0,,NULL
ex:issuer_88,ex:inPossibleIssuersOf,ex:person_141,1.0,,NULL
ex:person_19,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_118,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_126,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_140,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_140,ex:hasPossibleIssuers,ex:issuer_93,1.0,,NULL
ex:person_141,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_141,ex:hasPossibleIssuers,ex:issuer_94,1.0,,NULL
ex:person_141,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:coin_6455,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_6455,nmo:hasIssuer,ex:issuer_88,1.0,,NULL
ex:coin_6455,nmo:hasIssuer,ex:uncertain,1.0,,NULL
