s,p,o,weight,model
ex:coin_1534,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_1534,nmo:hasPortrait,ex:person_2,1.0,
ex:person_2,ex:hasPossibleIssuers,ex:issuer_33,1.0,
ex:person_2,ex:hasPossibleIssuers,ex:issuer_48,1.0,
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_2,1.0,
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_107,1.0,
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_176,1.0,
ex:person_107,ex:hasPossibleIssuers,ex:issuer_33,1.0,
ex:person_107,ex:hasPossibleIssuers,ex:issuer_52,1.0,
ex:person_176,ex:hasPossibleIssuers,ex:issuer_33,1.0,
ex:coin_1812,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_1812,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_6421,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_6421,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_9073,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_9073,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_9427,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_9427,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_10123,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_10123,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_10154,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_10154,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_11651,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_11651,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_12037,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_12037,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_12831,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_12831,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_13232,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_13232,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_13504,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_13504,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_13743,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_13743,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_14201,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_14201,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_15055,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_15055,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_16275,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_16275,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_16276,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_16276,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_17623,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_17623,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_18398,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_18398,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_30573,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_30573,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_32267,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_32267,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_33518,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_33518,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_35007,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_35007,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_35008,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_35008,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_35072,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_35072,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_35073,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_35073,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_35074,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_35074,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_35149,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_35149,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_35279,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_35279,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_36971,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_36971,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_42921,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_42921,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_42922,nmo:hasIssuer,ex:issuer_33,1.0,
ex:coin_42922,nmo:hasPortrait,ex:person_2,1.0,
ex:coin_1535,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_1535,nmo:hasPortrait,ex:person_4,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_48,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_52,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_53,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_288,1.0,
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_2,1.0,
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_4,1.0,
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_129,1.0,
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_155,1.0,
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_156,1.0,
ex:person_129,ex:hasPossibleIssuers,ex:issuer_48,1.0,
ex:person_129,ex:hasPossibleIssuers,ex:issuer_53,1.0,
ex:person_129,ex:hasPossibleIssuers,ex:issuer_58,1.0,
ex:person_155,ex:hasPossibleIssuers,ex:issuer_48,1.0,
ex:person_155,ex:hasPossibleIssuers,ex:issuer_53,1.0,
ex:person_156,ex:hasPossibleIssuers,ex:issuer_48,1.0,
ex:coin_1585,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_1585,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_1791,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_1791,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_1876,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_1876,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_1877,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_1877,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_1878,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_1878,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_1879,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_1879,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_1880,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_1880,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_5350,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_5350,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_5405,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_5405,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_5756,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_5756,nmo:hasPortrait,ex:person_156,1.0,
ex:coin_6197,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_6197,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_6448,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_6448,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_6505,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_6505,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_6555,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_6555,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_6612,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_6612,nmo:hasPortrait,ex:person_107,1.0,
ex:coin_7550,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_7550,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_7922,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_7922,nmo:hasPortrait,ex:person_154,1.0,
ex:person_154,ex:hasPossibleIssuers,ex:issuer_52,1.0,
ex:coin_7999,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_7999,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_8376,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_8376,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_8581,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_8581,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_8681,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_8681,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_10956,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_10956,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_11034,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_11034,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_11035,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_11035,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_13087,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_13087,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_13426,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_13426,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_14185,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_14185,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_14190,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_14190,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_14202,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_14202,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_15659,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_15659,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_16416,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_16416,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_16419,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_16419,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_18377,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_18377,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_35009,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_35009,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_35010,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_35010,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_35011,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_35011,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_35012,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_35012,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_35013,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_35013,nmo:hasPortrait,ex:person_4,1.0,
ex:coin_35014,nmo:hasIssuer,ex:issuer_48,1.0,
ex:coin_35014,nmo:hasPortrait,ex:person_4,1.0,
