s,o,p
ex:coin_12365,ex:issuer_33,nmo:hasIssuer
ex:coin_12365,ex:uncertain,nmo:hasIssuer
ex:coin_12365,ex:person_2,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:coin_18266,ex:issuer_33,nmo:hasIssuer
ex:coin_18266,ex:uncertain,nmo:hasIssuer
ex:coin_18266,ex:person_2,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:coin_737,ex:issuer_83,nmo:hasIssuer
ex:coin_737,ex:uncertain,nmo:hasIssuer
ex:coin_737,ex:person_15,nmo:hasPortrait
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:coin_18031,ex:issuer_83,nmo:hasIssuer
ex:coin_18031,ex:uncertain,nmo:hasIssuer
ex:coin_18031,ex:person_16,nmo:hasPortrait
ex:person_16,ex:issuer_83,ex:hasPossibleIssuers
ex:person_16,ex:issuer_88,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:coin_18050,ex:issuer_83,nmo:hasIssuer
ex:coin_18050,ex:uncertain,nmo:hasIssuer
ex:coin_18050,ex:person_15,nmo:hasPortrait
ex:person_15,ex:issuer_83,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:coin_18235,ex:issuer_83,nmo:hasIssuer
ex:coin_18235,ex:uncertain,nmo:hasIssuer
ex:coin_18235,ex:person_17,nmo:hasPortrait
ex:person_17,ex:issuer_83,ex:hasPossibleIssuers
ex:person_17,ex:issuer_88,ex:hasPossibleIssuers
ex:person_17,ex:issuer_269,ex:hasPossibleIssuers
ex:issuer_83,ex:person_11,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_12,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_14,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_15,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_16,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_17,ex:inPossibleIssuersOf
ex:issuer_83,ex:person_135,ex:inPossibleIssuersOf
ex:coin_14411,ex:issuer_114,nmo:hasIssuer
ex:coin_14411,ex:uncertain,nmo:hasIssuer
ex:coin_14411,ex:person_57,nmo:hasPortrait
ex:person_57,ex:issuer_113,ex:hasPossibleIssuers
ex:coin_18185,ex:issuer_150,nmo:hasIssuer
ex:coin_18185,ex:uncertain,nmo:hasIssuer
ex:coin_18185,ex:person_43,nmo:hasPortrait
ex:person_43,ex:issuer_151,ex:hasPossibleIssuers
ex:person_43,ex:issuer_152,ex:hasPossibleIssuers
ex:issuer_150,ex:person_33,ex:inPossibleIssuersOf
ex:coin_1008,ex:issuer_151,nmo:hasIssuer
ex:coin_1008,ex:uncertain,nmo:hasIssuer
ex:coin_1008,ex:person_63,nmo:hasPortrait
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_43,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_120,ex:inPossibleIssuersOf
ex:coin_14447,ex:issuer_151,nmo:hasIssuer
ex:coin_14447,ex:uncertain,nmo:hasIssuer
ex:coin_14447,ex:person_120,nmo:hasPortrait
ex:person_120,ex:issuer_151,ex:hasPossibleIssuers
ex:issuer_151,ex:person_34,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_39,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_40,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_41,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_43,ex:inPossibleIssuersOf
ex:issuer_151,ex:person_120,ex:inPossibleIssuersOf
ex:coin_16203,ex:issuer_154,nmo:hasIssuer
ex:coin_16203,ex:uncertain,nmo:hasIssuer
ex:coin_16203,ex:person_42,nmo:hasPortrait
ex:person_42,ex:issuer_131,ex:hasPossibleIssuers
