s,p,o,weight,model,
ex:coin_12365,nmo:hasIssuer,ex:issuer_33,1.0,,NULL
ex:coin_12365,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_12365,nmo:hasPortrait,ex:person_2,1.0,,NULL
ex:person_2,ex:hasPossibleIssuers,ex:issuer_33,1.0,,NULL
ex:person_2,ex:hasPossibleIssuers,ex:issuer_48,1.0,,NULL
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_2,1.0,,NULL
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_107,1.0,,NULL
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_176,1.0,,NULL
ex:person_107,ex:hasPossibleIssuers,ex:issuer_33,1.0,,NULL
ex:person_107,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_176,ex:hasPossibleIssuers,ex:issuer_33,1.0,,NULL
ex:coin_18266,nmo:hasIssuer,ex:issuer_33,1.0,,NULL
ex:coin_18266,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_18266,nmo:hasPortrait,ex:person_2,1.0,,NULL
ex:coin_737,nmo:hasIssuer,ex:issuer_83,1.0,,NULL
ex:coin_737,nmo:hasIssuer,ex:uncertain,1.0,,NULL
ex:coin_737,nmo:hasPortrait,ex:person_15,1.0,,NULL
ex:person_15,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_11,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_12,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_14,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_15,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_16,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_17,1.0,,NULL
ex:issuer_83,ex:inPossibleIssuersOf,ex:person_135,1.0,,NULL
ex:person_11,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_11,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_12,ex:hasPossibleIssuers,ex:issuer_77,1.0,,NULL
ex:person_12,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_14,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_14,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_16,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_16,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
ex:person_17,ex:hasPossibleIssuers,ex:issuer_269,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_83,1.0,,NULL
ex:person_135,ex:hasPossibleIssuers,ex:issuer_88,1.0,,NULL
