s,o,p
ex:coin_34629,ex:issuer_33,nmo:hasIssuer
ex:coin_34629,ex:issuer_48,nmo:hasIssuer
ex:coin_34629,ex:person_4,nmo:hasPortrait
ex:coin_34629,ex:uncertain,nmo:hasPortrait
ex:person_4,ex:issuer_48,ex:hasPossibleIssuers
ex:person_4,ex:issuer_52,ex:hasPossibleIssuers
ex:person_4,ex:issuer_53,ex:hasPossibleIssuers
ex:person_4,ex:issuer_288,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_129,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_155,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_156,ex:inPossibleIssuersOf
ex:coin_33323,ex:issuer_52,nmo:hasIssuer
ex:coin_33323,ex:issuer_53,nmo:hasIssuer
ex:coin_33323,ex:person_4,nmo:hasPortrait
ex:coin_33323,ex:uncertain,nmo:hasPortrait
ex:person_4,ex:issuer_48,ex:hasPossibleIssuers
ex:person_4,ex:issuer_52,ex:hasPossibleIssuers
ex:person_4,ex:issuer_53,ex:hasPossibleIssuers
ex:person_4,ex:issuer_288,ex:hasPossibleIssuers
ex:issuer_52,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_5,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_108,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_109,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_153,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_154,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_169,ex:inPossibleIssuersOf
ex:issuer_52,ex:person_185,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_5,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_108,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_109,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_112,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_114,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_116,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_117,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_129,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_155,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_183,ex:inPossibleIssuersOf
ex:issuer_53,ex:person_184,ex:inPossibleIssuersOf
