s,p,o
ex:coin_36911,nmo:hasIssuer,ex:issuer_114
ex:coin_36911,nmo:hasIssuer,ex:issuer_119
ex:coin_36911,nmo:hasPortrait,ex:person_57
ex:coin_36911,nmo:hasPortrait,ex:uncertain
ex:person_57,ex:hasPossibleIssuers,ex:issuer_113
ex:issuer_119,ex:inPossibleIssuersOf,ex:person_29
ex:coin_42318,nmo:hasIssuer,ex:issuer_151
ex:coin_42318,nmo:hasIssuer,ex:issuer_161
ex:coin_42318,nmo:hasPortrait,ex:person_70
ex:coin_42318,nmo:hasPortrait,ex:uncertain
ex:person_70,ex:hasPossibleIssuers,ex:issuer_59
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_34
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_39
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_40
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_41
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_43
ex:issuer_151,ex:inPossibleIssuersOf,ex:person_120
ex:issuer_161,ex:inPossibleIssuersOf,ex:person_34
