s,p,o,weight,model,
ex:coin_34629,nmo:hasIssuer,ex:issuer_33,1.0,,NULL
ex:coin_34629,nmo:hasIssuer,ex:issuer_48,1.0,,NULL
ex:coin_34629,nmo:hasPortrait,ex:person_4,1.0,,NULL
ex:coin_34629,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_4,ex:hasPossibleIssuers,ex:issuer_48,1.0,,NULL
ex:person_4,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_4,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_4,ex:hasPossibleIssuers,ex:issuer_288,1.0,,NULL
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_2,1.0,,NULL
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_107,1.0,,NULL
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_176,1.0,,NULL
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_2,1.0,,NULL
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_4,1.0,,NULL
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_129,1.0,,NULL
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_155,1.0,,NULL
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_156,1.0,,NULL
ex:person_2,ex:hasPossibleIssuers,ex:issuer_33,1.0,,NULL
ex:person_2,ex:hasPossibleIssuers,ex:issuer_48,1.0,,NULL
ex:person_107,ex:hasPossibleIssuers,ex:issuer_33,1.0,,NULL
ex:person_107,ex:hasPossibleIssuers,ex:issuer_52,1.0,,NULL
ex:person_176,ex:hasPossibleIssuers,ex:issuer_33,1.0,,NULL
ex:person_129,ex:hasPossibleIssuers,ex:issuer_48,1.0,,NULL
ex:person_129,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_129,ex:hasPossibleIssuers,ex:issuer_58,1.0,,NULL
ex:person_155,ex:hasPossibleIssuers,ex:issuer_48,1.0,,NULL
ex:person_155,ex:hasPossibleIssuers,ex:issuer_53,1.0,,NULL
ex:person_156,ex:hasPossibleIssuers,ex:issuer_48,1.0,,NULL
ex:coin_33323,nmo:hasIssuer,ex:issuer_52,1.0,,NULL
ex:coin_33323,nmo:hasIssuer,ex:issuer_53,1.0,,NULL
ex:coin_33323,nmo:hasPortrait,ex:person_4,1.0,,NULL
ex:coin_33323,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_4,1.0,,NULL
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_5,1.0,,NULL
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_107,1.0,,NULL
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_108,1.0,,NULL
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_109,1.0,,NULL
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_153,1.0,,NULL
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_154,1.0,,NULL
ex:issuer_52,ex:inPossibleIssuersOf,ex:person_169,1.0,,NULL
