s,o,p
ex:coin_9497,ex:issuer_33,nmo:hasIssuer
ex:coin_9497,ex:issuer_48,nmo:hasIssuer
ex:coin_9497,ex:uncertain,nmo:hasIssuer
ex:coin_9497,ex:person_4,nmo:hasPortrait
ex:coin_9497,ex:uncertain,nmo:hasPortrait
ex:person_4,ex:issuer_48,ex:hasPossibleIssuers
ex:person_4,ex:issuer_52,ex:hasPossibleIssuers
ex:person_4,ex:issuer_53,ex:hasPossibleIssuers
ex:person_4,ex:issuer_288,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_4,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_129,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_155,ex:inPossibleIssuersOf
ex:issuer_48,ex:person_156,ex:inPossibleIssuersOf
ex:coin_13130,ex:issuer_60,nmo:hasIssuer
ex:coin_13130,ex:issuer_63,nmo:hasIssuer
ex:coin_13130,ex:uncertain,nmo:hasIssuer
ex:coin_13130,ex:person_6,nmo:hasPortrait
ex:coin_13130,ex:uncertain,nmo:hasPortrait
ex:person_6,ex:issuer_60,ex:hasPossibleIssuers
ex:person_6,ex:issuer_63,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_9,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_125,ex:inPossibleIssuersOf
ex:issuer_63,ex:person_172,ex:inPossibleIssuersOf
ex:coin_28646,ex:issuer_60,nmo:hasIssuer
ex:coin_28646,ex:issuer_63,nmo:hasIssuer
ex:coin_28646,ex:uncertain,nmo:hasIssuer
ex:coin_28646,ex:person_6,nmo:hasPortrait
ex:coin_28646,ex:uncertain,nmo:hasPortrait
ex:person_6,ex:issuer_60,ex:hasPossibleIssuers
ex:person_6,ex:issuer_63,ex:hasPossibleIssuers
ex:issuer_60,ex:person_6,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_7,ex:inPossibleIssuersOf
ex:issuer_60,ex:person_9,ex:inPossibleIssuersOf
