s,o,p
ex:coin_1592,ex:issuer_33,nmo:hasIssuer
ex:coin_1592,ex:person_2,nmo:hasPortrait
ex:coin_1592,ex:uncertain,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:coin_1601,ex:issuer_33,nmo:hasIssuer
ex:coin_1601,ex:person_2,nmo:hasPortrait
ex:coin_1601,ex:uncertain,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:coin_1607,ex:issuer_33,nmo:hasIssuer
ex:coin_1607,ex:person_2,nmo:hasPortrait
ex:coin_1607,ex:uncertain,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:coin_1609,ex:issuer_33,nmo:hasIssuer
ex:coin_1609,ex:person_2,nmo:hasPortrait
ex:coin_1609,ex:uncertain,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:coin_28157,ex:issuer_33,nmo:hasIssuer
ex:coin_28157,ex:person_2,nmo:hasPortrait
ex:coin_28157,ex:uncertain,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:coin_28158,ex:issuer_33,nmo:hasIssuer
ex:coin_28158,ex:person_2,nmo:hasPortrait
ex:coin_28158,ex:uncertain,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
ex:coin_28159,ex:issuer_33,nmo:hasIssuer
ex:coin_28159,ex:person_2,nmo:hasPortrait
ex:coin_28159,ex:uncertain,nmo:hasPortrait
ex:person_2,ex:issuer_33,ex:hasPossibleIssuers
ex:person_2,ex:issuer_48,ex:hasPossibleIssuers
ex:issuer_33,ex:person_2,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_107,ex:inPossibleIssuersOf
ex:issuer_33,ex:person_176,ex:inPossibleIssuersOf
