s,p,o,weight,model,
ex:coin_16853,nmo:hasIssuer,ex:issuer_154,1.0,,NULL
ex:coin_16853,nmo:hasPortrait,ex:person_43,1.0,,NULL
ex:coin_16853,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_43,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_43,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
ex:coin_16859,nmo:hasIssuer,ex:issuer_154,1.0,,NULL
ex:coin_16859,nmo:hasPortrait,ex:person_39,1.0,,NULL
ex:coin_16859,nmo:hasPortrait,ex:uncertain,1.0,,NULL
ex:person_39,ex:hasPossibleIssuers,ex:issuer_151,1.0,,NULL
ex:person_39,ex:hasPossibleIssuers,ex:issuer_152,1.0,,NULL
