s,p,o
ex:coin_12366,nmo:hasIssuer,ex:issuer_33
ex:coin_12366,nmo:hasIssuer,ex:uncertain
ex:coin_12366,nmo:hasPortrait,ex:person_2
ex:coin_12366,nmo:hasPortrait,ex:uncertain
ex:person_2,ex:hasPossibleIssuers,ex:issuer_33
ex:person_2,ex:hasPossibleIssuers,ex:issuer_48
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_2
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_107
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_176
ex:coin_31736,nmo:hasIssuer,ex:issuer_33
ex:coin_31736,nmo:hasIssuer,ex:uncertain
ex:coin_31736,nmo:hasPortrait,ex:person_2
ex:coin_31736,nmo:hasPortrait,ex:uncertain
ex:person_2,ex:hasPossibleIssuers,ex:issuer_33
ex:person_2,ex:hasPossibleIssuers,ex:issuer_48
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_2
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_107
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_176
ex:coin_35130,nmo:hasIssuer,ex:issuer_33
ex:coin_35130,nmo:hasIssuer,ex:uncertain
ex:coin_35130,nmo:hasPortrait,ex:person_2
ex:coin_35130,nmo:hasPortrait,ex:uncertain
ex:person_2,ex:hasPossibleIssuers,ex:issuer_33
ex:person_2,ex:hasPossibleIssuers,ex:issuer_48
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_2
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_107
ex:issuer_33,ex:inPossibleIssuersOf,ex:person_176
ex:coin_35179,nmo:hasIssuer,ex:issuer_48
ex:coin_35179,nmo:hasIssuer,ex:uncertain
ex:coin_35179,nmo:hasPortrait,ex:person_4
ex:coin_35179,nmo:hasPortrait,ex:uncertain
ex:person_4,ex:hasPossibleIssuers,ex:issuer_48
ex:person_4,ex:hasPossibleIssuers,ex:issuer_52
ex:person_4,ex:hasPossibleIssuers,ex:issuer_53
ex:person_4,ex:hasPossibleIssuers,ex:issuer_288
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_2
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_4
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_129
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_155
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_156
ex:coin_35289,nmo:hasIssuer,ex:issuer_48
ex:coin_35289,nmo:hasIssuer,ex:uncertain
ex:coin_35289,nmo:hasPortrait,ex:person_4
ex:coin_35289,nmo:hasPortrait,ex:uncertain
ex:person_4,ex:hasPossibleIssuers,ex:issuer_48
ex:person_4,ex:hasPossibleIssuers,ex:issuer_52
ex:person_4,ex:hasPossibleIssuers,ex:issuer_53
ex:person_4,ex:hasPossibleIssuers,ex:issuer_288
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_2
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_4
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_129
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_155
ex:issuer_48,ex:inPossibleIssuersOf,ex:person_156
ex:coin_41535,nmo:hasIssuer,ex:issuer_53
ex:coin_41535,nmo:hasIssuer,ex:uncertain
ex:coin_41535,nmo:hasPortrait,ex:person_155
ex:coin_41535,nmo:hasPortrait,ex:uncertain
ex:person_155,ex:hasPossibleIssuers,ex:issuer_48
ex:person_155,ex:hasPossibleIssuers,ex:issuer_53
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_4
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_5
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_108
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_109
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_112
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_114
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_116
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_117
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_129
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_155
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_183
ex:issuer_53,ex:inPossibleIssuersOf,ex:person_184
ex:coin_30166,nmo:hasIssuer,ex:issuer_60
ex:coin_30166,nmo:hasIssuer,ex:uncertain
ex:coin_30166,nmo:hasPortrait,ex:person_7
ex:coin_30166,nmo:hasPortrait,ex:uncertain
ex:person_7,ex:hasPossibleIssuers,ex:issuer_60
ex:person_7,ex:hasPossibleIssuers,ex:issuer_63
ex:person_7,ex:hasPossibleIssuers,ex:issuer_70
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_6
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_7
ex:issuer_60,ex:inPossibleIssuersOf,ex:person_9
ex:coin_42931,nmo:hasIssuer,ex:issuer_63
ex:coin_42931,nmo:hasIssuer,ex:uncertain
ex:coin_42931,nmo:hasPortrait,ex:person_7
