s,p,o
ex:coin_34828,nmo:hasIssuer,ex:issuer_114
ex:coin_34828,nmo:hasIssuer,ex:uncertain
ex:coin_34828,nmo:hasPortrait,ex:person_57
ex:coin_34828,nmo:hasPortrait,ex:uncertain
ex:person_57,ex:hasPossibleIssuers,ex:issuer_113
ex:coin_37009,nmo:hasIssuer,ex:issuer_114
ex:coin_37009,nmo:hasIssuer,ex:uncertain
ex:coin_37009,nmo:hasPortrait,ex:person_57
ex:coin_37009,nmo:hasPortrait,ex:uncertain
ex:coin_40839,nmo:hasIssuer,ex:issuer_114
ex:coin_40839,nmo:hasIssuer,ex:uncertain
ex:coin_40839,nmo:hasPortrait,ex:person_57
ex:coin_40839,nmo:hasPortrait,ex:uncertain
ex:coin_40845,nmo:hasIssuer,ex:issuer_114
ex:coin_40845,nmo:hasIssuer,ex:uncertain
ex:coin_40845,nmo:hasPortrait,ex:person_57
ex:coin_40845,nmo:hasPortrait,ex:uncertain
ex:coin_30206,nmo:hasIssuer,ex:issuer_154
ex:coin_30206,nmo:hasIssuer,ex:uncertain
ex:coin_30206,nmo:hasPortrait,ex:person_41
ex:coin_30206,nmo:hasPortrait,ex:uncertain
ex:person_41,ex:hasPossibleIssuers,ex:issuer_151
ex:person_41,ex:hasPossibleIssuers,ex:issuer_152
ex:coin_33570,nmo:hasIssuer,ex:issuer_154
ex:coin_33570,nmo:hasIssuer,ex:uncertain
ex:coin_33570,nmo:hasPortrait,ex:person_39
ex:coin_33570,nmo:hasPortrait,ex:uncertain
ex:person_39,ex:hasPossibleIssuers,ex:issuer_151
ex:person_39,ex:hasPossibleIssuers,ex:issuer_152
ex:coin_41479,nmo:hasIssuer,ex:issuer_154
ex:coin_41479,nmo:hasIssuer,ex:uncertain
ex:coin_41479,nmo:hasPortrait,ex:person_43
ex:coin_41479,nmo:hasPortrait,ex:uncertain
ex:person_43,ex:hasPossibleIssuers,ex:issuer_151
ex:person_43,ex:hasPossibleIssuers,ex:issuer_152
