s,p,o,weight,model
ex:coin_35357,nmo:hasIssuer,ex:uncertain,0.019,uncertainty_reasoner
ex:coin_35357,nmo:hasIssuer,ex:Nerva,0.074,uncertainty_reasoner
ex:coin_35357,nmo:hasIssuer,ex:Claudius_I,0.181,uncertainty_reasoner
ex:coin_35357,nmo:hasIssuer,ex:Traianus_Decius,0.181,uncertainty_reasoner
ex:coin_35357,nmo:hasIssuer,ex:Tiberius_2,0.181,uncertainty_reasoner
ex:coin_35357,nmo:hasIssuer,ex:Tiberius,0.181,uncertainty_reasoner
ex:coin_35357,nmo:hasIssuer,ex:Caligula,0.181,uncertainty_reasoner
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Caligula,0.2,uncertainty_reasoner
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Claudius_I,0.2,uncertainty_reasoner
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Traianus_Decius,0.2,uncertainty_reasoner
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Tiberius_2,0.2,uncertainty_reasoner
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Tiberius,0.2,uncertainty_reasoner
ex:Claudius_I,ex:inPossibleIssuersOf,ex:Divus_Augustus,1.0,
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Caligula,1.0,
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Claudius_I,1.0,
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Traianus_Decius,1.0,
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Tiberius_2,1.0,
ex:Divus_Augustus,ex:hasPossibleIssuers,ex:Tiberius,1.0,
ex:Traianus_Decius,ex:inPossibleIssuersOf,ex:Divus_Augustus,1.0,
ex:coin_35357,nmo:hasPortrait,ex:Divus_Augustus,1.0,
ex:coin_35357,nmo:hasIssuer,ex:Nerva,1.0,
ex:Caligula,ex:inPossibleIssuersOf,ex:Divus_Augustus,1.0,
ex:Tiberius,ex:inPossibleIssuersOf,ex:Divus_Augustus,1.0,
