s,p,o,weight,model
ex:coin_12365,nmo:hasIssuer,ex:Tiberius,0.146,uncertainty_reasoner
ex:coin_12365,nmo:hasIssuer,ex:uncertain,0.195,uncertainty_reasoner
ex:coin_12365,nmo:hasPortrait,ex:uncertain,0.2,uncertainty_reasoner
ex:Tiberius,ex:hasPossibleIssuers,ex:Tiberius,0.5,uncertainty_reasoner
ex:Tiberius,ex:hasPossibleIssuers,ex:Augustus,0.5,uncertainty_reasoner
ex:coin_12365,nmo:hasIssuer,ex:Augustus,0.659,uncertainty_reasoner
ex:coin_12365,nmo:hasPortrait,ex:Tiberius,0.8,uncertainty_reasoner
ex:coin_12365,nmo:hasIssuer,ex:Augustus,1.0,
ex:coin_12365,nmo:hasIssuer,ex:uncertain,1.0,
ex:coin_12365,nmo:hasPortrait,ex:Tiberius,1.0,
ex:coin_12365,nmo:hasPortrait,ex:uncertain,1.0,
ex:Tiberius,ex:hasPossibleIssuers,ex:Tiberius,1.0,
ex:Tiberius,ex:hasPossibleIssuers,ex:Augustus,1.0,
