s,p,o,weight,model
ex:coin_36911,nmo:hasIssuer,ex:uncertain,0.154,uncertainty_reasoner
ex:coin_36911,nmo:hasPortrait,ex:uncertain,0.154,uncertainty_reasoner
ex:coin_36911,nmo:hasIssuer,ex:Claudius_II,0.231,uncertainty_reasoner
ex:coin_36911,nmo:hasPortrait,ex:Divus_Claudius_II,0.231,uncertainty_reasoner
ex:coin_36911,nmo:hasIssuer,ex:Tetricus_I,0.308,uncertainty_reasoner
ex:coin_36911,nmo:hasIssuer,ex:Quintillus,0.308,uncertainty_reasoner
ex:coin_36911,nmo:hasPortrait,ex:Tetricus_II,0.615,uncertainty_reasoner
ex:Claudius_II,ex:inPossibleIssuersOf,ex:Divus_Claudius_II,1.0,
ex:Tetricus_II,ex:hasPossibleIssuers,ex:Tetricus_I,1.0,
ex:Tetricus_I,ex:inPossibleIssuersOf,ex:Tetricus_II,1.0,
ex:Divus_Claudius_II,ex:hasPossibleIssuers,ex:Claudius_II,1.0,
ex:coin_36911,nmo:hasIssuer,ex:Tetricus_I,1.0,
ex:coin_36911,nmo:hasIssuer,ex:Quintillus,1.0,
ex:coin_36911,nmo:hasPortrait,ex:Divus_Claudius_II,1.0,
ex:coin_36911,nmo:hasPortrait,ex:uncertain,1.0,
