s,p,o,weight,model
ex:coin_16853,nmo:hasIssuer,ex:Sons_of_Constantine,1.0,
ex:coin_16853,nmo:hasPortrait,ex:Theodora,1.0,
ex:coin_16853,nmo:hasPortrait,ex:uncertain,1.0,
ex:Theodora,ex:hasPossibleIssuers,ex:Constantius_II,1.0,
ex:Theodora,ex:hasPossibleIssuers,ex:Constans,1.0,
ex:coin_16859,nmo:hasIssuer,ex:Sons_of_Constantine,1.0,
ex:coin_16859,nmo:hasPortrait,ex:Helena,1.0,
ex:coin_16859,nmo:hasPortrait,ex:uncertain,1.0,
ex:Helena,ex:hasPossibleIssuers,ex:Constantius_II,1.0,
ex:Helena,ex:hasPossibleIssuers,ex:Constans,1.0,
