s,p,o,weight,model
ex:coin_1592,nmo:hasIssuer,ex:Augustus,1.0,
ex:coin_1592,nmo:hasPortrait,ex:Tiberius,1.0,
ex:coin_1592,nmo:hasPortrait,ex:uncertain,1.0,
ex:Tiberius,ex:hasPossibleIssuers,ex:Augustus,1.0,
ex:Tiberius,ex:hasPossibleIssuers,ex:tiberius,1.0,
ex:tiberius,ex:inPossibleIssuersOf,ex:Tiberius,1.0,
ex:Augustus,ex:inPossibleIssuersOf,ex:Tiberius,1.0,
ex:Augustus,ex:inPossibleIssuersOf,ex:Agrippa,1.0,
ex:Augustus,ex:inPossibleIssuersOf,ex:Lucius_Caesar,1.0,
ex:Agrippa,ex:hasPossibleIssuers,ex:Augustus,1.0,
ex:Agrippa,ex:hasPossibleIssuers,ex:Caligula,1.0,
ex:Lucius_Caesar,ex:hasPossibleIssuers,ex:Augustus,1.0,
