s,p,o
ex:issuing_for_2,ex:domain_knowledge,ex:issuer_33
ex:issuing_for_2,ex:domain_knowledge,ex:issuer_48
ex:issuing_for_4,ex:domain_knowledge,ex:issuer_48
ex:issuing_for_4,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_4,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_4,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_5,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_5,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_6,ex:domain_knowledge,ex:issuer_60
ex:issuing_for_6,ex:domain_knowledge,ex:issuer_63
ex:issuing_for_7,ex:domain_knowledge,ex:issuer_60
ex:issuing_for_7,ex:domain_knowledge,ex:issuer_63
ex:issuing_for_7,ex:domain_knowledge,ex:issuer_70
ex:issuing_for_9,ex:domain_knowledge,ex:issuer_60
ex:issuing_for_9,ex:domain_knowledge,ex:issuer_63
ex:issuing_for_9,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_11,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_11,ex:domain_knowledge,ex:issuer_83
ex:issuing_for_12,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_12,ex:domain_knowledge,ex:issuer_83
ex:issuing_for_13,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_14,ex:domain_knowledge,ex:issuer_83
ex:issuing_for_14,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_15,ex:domain_knowledge,ex:issuer_83
ex:issuing_for_16,ex:domain_knowledge,ex:issuer_83
ex:issuing_for_16,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_17,ex:domain_knowledge,ex:issuer_83
ex:issuing_for_17,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_17,ex:domain_knowledge,ex:issuer_269
ex:issuing_for_19,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_21,ex:domain_knowledge,ex:issuer_94
ex:issuing_for_22,ex:domain_knowledge,ex:issuer_100
ex:issuing_for_23,ex:domain_knowledge,ex:issuer_100
ex:issuing_for_25,ex:domain_knowledge,ex:issuer_103
ex:issuing_for_26,ex:domain_knowledge,ex:issuer_106
ex:issuing_for_26,ex:domain_knowledge,ex:issuer_107
ex:issuing_for_26,ex:domain_knowledge,ex:issuer_269
ex:issuing_for_26,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_29,ex:domain_knowledge,ex:issuer_119
ex:issuing_for_30,ex:domain_knowledge,ex:issuer_194
ex:issuing_for_31,ex:domain_knowledge,ex:issuer_131
ex:issuing_for_31,ex:domain_knowledge,ex:issuer_281
ex:issuing_for_33,ex:domain_knowledge,ex:issuer_150
ex:issuing_for_34,ex:domain_knowledge,ex:issuer_151
ex:issuing_for_34,ex:domain_knowledge,ex:issuer_161
ex:issuing_for_36,ex:domain_knowledge,ex:issuer_152
ex:issuing_for_39,ex:domain_knowledge,ex:issuer_151
ex:issuing_for_39,ex:domain_knowledge,ex:issuer_152
ex:issuing_for_40,ex:domain_knowledge,ex:issuer_151
ex:issuing_for_40,ex:domain_knowledge,ex:issuer_152
ex:issuing_for_41,ex:domain_knowledge,ex:issuer_151
ex:issuing_for_41,ex:domain_knowledge,ex:issuer_152
ex:issuing_for_42,ex:domain_knowledge,ex:issuer_131
ex:issuing_for_43,ex:domain_knowledge,ex:issuer_151
ex:issuing_for_43,ex:domain_knowledge,ex:issuer_152
ex:issuing_for_44,ex:domain_knowledge,ex:issuer_111
ex:issuing_for_45,ex:domain_knowledge,ex:issuer_111
ex:issuing_for_47,ex:domain_knowledge,ex:issuer_102
ex:issuing_for_56,ex:domain_knowledge,ex:issuer_158
ex:issuing_for_57,ex:domain_knowledge,ex:issuer_113
ex:issuing_for_70,ex:domain_knowledge,ex:issuer_59
ex:issuing_for_101,ex:domain_knowledge,ex:issuer_297
ex:issuing_for_102,ex:domain_knowledge,ex:issuer_286
ex:issuing_for_103,ex:domain_knowledge,ex:issuer_208
ex:issuing_for_103,ex:domain_knowledge,ex:issuer_252
ex:issuing_for_103,ex:domain_knowledge,ex:issuer_286
ex:issuing_for_104,ex:domain_knowledge,ex:issuer_285
ex:issuing_for_105,ex:domain_knowledge,ex:issuer_252
ex:issuing_for_105,ex:domain_knowledge,ex:issuer_286
ex:issuing_for_106,ex:domain_knowledge,ex:issuer_246
ex:issuing_for_107,ex:domain_knowledge,ex:issuer_33
ex:issuing_for_107,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_108,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_108,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_109,ex:domain_knowledge,ex:issuer_52
ex:issuing_for_109,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_109,ex:domain_knowledge,ex:issuer_55
ex:issuing_for_110,ex:domain_knowledge,ex:issuer_102
ex:issuing_for_112,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_113,ex:domain_knowledge,ex:issuer_102
ex:issuing_for_114,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_115,ex:domain_knowledge,ex:issuer_215
ex:issuing_for_115,ex:domain_knowledge,ex:issuer_216
ex:issuing_for_116,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_117,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_118,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_120,ex:domain_knowledge,ex:issuer_151
ex:issuing_for_122,ex:domain_knowledge,ex:issuer_59
ex:issuing_for_123,ex:domain_knowledge,ex:issuer_182
ex:issuing_for_124,ex:domain_knowledge,ex:issuer_225
ex:issuing_for_125,ex:domain_knowledge,ex:issuer_63
ex:issuing_for_126,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_127,ex:domain_knowledge,ex:issuer_100
ex:issuing_for_127,ex:domain_knowledge,ex:issuer_103
ex:issuing_for_128,ex:domain_knowledge,ex:issuer_103
ex:issuing_for_129,ex:domain_knowledge,ex:issuer_48
ex:issuing_for_129,ex:domain_knowledge,ex:issuer_53
ex:issuing_for_129,ex:domain_knowledge,ex:issuer_58
ex:issuing_for_130,ex:domain_knowledge,ex:issuer_74
ex:issuing_for_131,ex:domain_knowledge,ex:issuer_110
ex:issuing_for_131,ex:domain_knowledge,ex:issuer_111
ex:issuing_for_132,ex:domain_knowledge,ex:issuer_74
ex:issuing_for_132,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_134,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_135,ex:domain_knowledge,ex:issuer_83
ex:issuing_for_135,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_135,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_136,ex:domain_knowledge,ex:issuer_100
ex:issuing_for_136,ex:domain_knowledge,ex:issuer_103
ex:issuing_for_137,ex:domain_knowledge,ex:issuer_216
ex:issuing_for_138,ex:domain_knowledge,ex:issuer_94
ex:issuing_for_138,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_139,ex:domain_knowledge,ex:issuer_77
ex:issuing_for_139,ex:domain_knowledge,ex:issuer_288
ex:issuing_for_140,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_140,ex:domain_knowledge,ex:issuer_93
ex:issuing_for_141,ex:domain_knowledge,ex:issuer_88
ex:issuing_for_141,ex:domain_knowledge,ex:issuer_94
