person,possible_issuers_count
ex:person_101,1
ex:person_102,1
ex:person_104,1
ex:person_106,1
ex:person_110,1
ex:person_112,1
ex:person_113,1
ex:person_114,1
ex:person_116,1
ex:person_117,1
ex:person_118,1
ex:person_120,1
ex:person_122,1
ex:person_123,1
ex:person_124,1
ex:person_125,1
ex:person_126,1
ex:person_128,1
ex:person_13,1
ex:person_130,1
ex:person_134,1
ex:person_137,1
ex:person_144,1
ex:person_145,1
ex:person_146,1
ex:person_147,1
ex:person_15,1
ex:person_152,1
ex:person_153,1
ex:person_154,1
ex:person_156,1
ex:person_157,1
ex:person_161,1
ex:person_166,1
ex:person_169,1
ex:person_170,1
ex:person_171,1
ex:person_176,1
ex:person_177,1
ex:person_178,1
ex:person_179,1
ex:person_181,1
ex:person_183,1
ex:person_185,1
ex:person_188,1
ex:person_19,1
ex:person_190,1
ex:person_191,1
ex:person_192,1
ex:person_193,1
ex:person_195,1
ex:person_196,1
ex:person_21,1
ex:person_22,1
ex:person_23,1
ex:person_25,1
ex:person_29,1
ex:person_30,1
ex:person_33,1
ex:person_36,1
ex:person_42,1
ex:person_44,1
ex:person_45,1
ex:person_47,1
ex:person_56,1
ex:person_57,1
ex:person_70,1
ex:person_105,2
ex:person_107,2
ex:person_108,2
ex:person_11,2
ex:person_115,2
ex:person_12,2
ex:person_127,2
ex:person_131,2
ex:person_132,2
ex:person_136,2
ex:person_138,2
ex:person_139,2
ex:person_14,2
ex:person_140,2
ex:person_142,2
ex:person_143,2
ex:person_149,2
ex:person_150,2
ex:person_151,2
ex:person_155,2
ex:person_16,2
ex:person_162,2
ex:person_168,2
ex:person_172,2
ex:person_180,2
ex:person_184,2
ex:person_186,2
ex:person_189,2
ex:person_194,2
ex:person_2,2
ex:person_31,2
ex:person_34,2
ex:person_39,2
ex:person_40,2
ex:person_41,2
ex:person_43,2
ex:person_5,2
ex:person_6,2
ex:person_103,3
ex:person_109,3
ex:person_129,3
ex:person_135,3
ex:person_141,3
ex:person_148,3
ex:person_167,3
ex:person_17,3
ex:person_198,3
ex:person_7,3
ex:person_9,3
ex:person_163,4
ex:person_26,4
ex:person_4,4
ex:person_187,5
