s,p,o,weight,model
ex:coin1,ex:issuer,ex:uncertain,0.064,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer7,0.085,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer5,0.085,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer9,0.127,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer15,0.127,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer13,0.127,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer7,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer5,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer3,0.333,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer3,0.382,uncertainty_reasoner
ex:issuer2,ex:domain_knowledge,ex:issuer15,0.5,uncertainty_reasoner
ex:issuer2,ex:domain_knowledge,ex:issuer13,0.5,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:issuer2,0.5,uncertainty_reasoner
ex:coin1,ex:issuing_for,ex:issuer1,0.5,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer5,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer3,1.0,
ex:issuer2,ex:domain_knowledge,ex:issuer13,1.0,
ex:issuer2,ex:domain_knowledge,ex:issuer15,1.0,
ex:coin1,ex:issuing_for,ex:issuer1,1.0,
ex:coin1,ex:issuing_for,ex:issuer2,1.0,
ex:coin1,ex:issuer,ex:issuer9,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer7,1.0,
ex:coin1,ex:issuer,ex:issuer3,1.0,
