s,p,o,weight,model
ex:coin1,nmo:hasPortrait,ex:person_1,1.0,
ex:coin1,nmo:hasPortrait,ex:person_2,1.0,
ex:coin1,nmo:hasPortrait,ex:uncertain,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_3,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_5,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_7,1.0,
ex:person_2,ex:hasPossibleIssuers,ex:issuer_13,1.0,
ex:person_2,ex:hasPossibleIssuers,ex:issuer_15,1.0,
ex:coin1,nmo:hasIssuer,ex:issuer_3,1.0,
ex:coin1,nmo:hasIssuer,ex:issuer_13,1.0,
ex:issuer_3,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:issuer_5,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:issuer_7,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:issuer_13,ex:inPossibleIssuersOf,ex:person_2,1.0,
ex:issuer_15,ex:inPossibleIssuersOf,ex:person_2,1.0,
