s,p,o,weight,model
ex:coin2,ex:issuer,ex:uncertain,0.105,uncertainty_reasoner
ex:coin1,ex:issuer,ex:uncertain,0.118,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer7,0.157,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer5,0.157,uncertainty_reasoner
ex:coin2,ex:issuer,ex:issuer5,0.211,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer7,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer5,0.333,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer3,0.333,uncertainty_reasoner
ex:issuer4,ex:domain_knowledge,ex:issuer5,0.5,uncertainty_reasoner
ex:issuer4,ex:domain_knowledge,ex:issuer3,0.5,uncertainty_reasoner
ex:coin1,ex:issuer,ex:issuer3,0.568,uncertainty_reasoner
ex:coin2,ex:issuer,ex:issuer3,0.684,uncertainty_reasoner
ex:issuer1,ex:domain_knowledge,ex:issuer7,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer3,1.0,
ex:coin2,ex:issuing_for,ex:issuer4,1.0,
ex:coin2,ex:issuer,ex:uncertain,1.0,
ex:coin2,ex:issuer,ex:issuer3,1.0,
ex:coin1,ex:issuing_for,ex:issuer1,1.0,
ex:coin1,ex:issuer,ex:uncertain,1.0,
ex:coin1,ex:issuer,ex:issuer3,1.0,
ex:issuer4,ex:domain_knowledge,ex:issuer5,1.0,
ex:issuer1,ex:domain_knowledge,ex:issuer5,1.0,
ex:issuer4,ex:domain_knowledge,ex:issuer3,1.0,
