s,p,o,weight,model
ex:coin1,ex:issuing_for,ex:person_1,1.0,
ex:coin1,ex:issuing_for,ex:uncertain,1.0,
ex:person_1,ex:domain_knowledge,ex:issuer3,1.0,
ex:person_1,ex:domain_knowledge,ex:issuer5,1.0,
ex:person_1,ex:domain_knowledge,ex:issuer7,1.0,
ex:coin1,ex:issuer,ex:issuer9,1.0,
ex:coin2,ex:issuing_for,ex:person_4,1.0,
ex:coin2,ex:issuing_for,ex:uncertain,1.0,
ex:person_4,ex:domain_knowledge,ex:issuer3,1.0,
ex:person_4,ex:domain_knowledge,ex:issuer5,1.0,
ex:coin2,ex:issuer,ex:issuer9,1.0,
ex:person_23,ex:domain_knowledge,ex:issuer9,1.0,
ex:person_24,ex:domain_knowledge,ex:issuer9,1.0,
