s,p,o,weight,model
ex:coin1,nmo:hasPortrait,ex:person_1,1.0,
ex:coin1,nmo:hasPortrait,ex:uncertain,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_3,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_5,1.0,
ex:person_1,ex:hasPossibleIssuers,ex:issuer_7,1.0,
ex:coin1,nmo:hasIssuer,ex:issuer_3,1.0,
ex:coin1,nmo:hasIssuer,ex:issuer_9,1.0,
ex:coin2,nmo:hasPortrait,ex:person_4,1.0,
ex:coin2,nmo:hasPortrait,ex:uncertain,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_3,1.0,
ex:person_4,ex:hasPossibleIssuers,ex:issuer_5,1.0,
ex:coin2,nmo:hasIssuer,ex:issuer_3,1.0,
ex:coin2,nmo:hasIssuer,ex:issuer_9,1.0,
ex:issuer_3,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:issuer_5,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:issuer_7,ex:inPossibleIssuersOf,ex:person_1,1.0,
ex:issuer_3,ex:inPossibleIssuersOf,ex:person_4,1.0,
ex:issuer_5,ex:inPossibleIssuersOf,ex:person_4,1.0,
